14:26:20.349 [main] INFO  com.lyonjohn.blog.LyonjohnblogApplication - Starting LyonjohnblogApplication using Java 20.0.1 on liangzhanbodeMacBook-Pro.local with PID 15747 (/Users/liangzhanbo/Desktop/lyonjohn-blog-server/lyonjohnblog/target/classes started by liangzhanbo in /Users/liangzhanbo/Desktop/lyonjohn-blog-server/lyonjohnblog)
14:26:20.354 [main] INFO  com.lyonjohn.blog.LyonjohnblogApplication - No active profile set, falling back to 1 default profile: "default"
14:26:21.617 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
14:26:21.628 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
14:26:21.628 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
14:26:21.628 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.63]
14:26:21.719 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
14:26:21.720 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1304 ms
14:26:21.929 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "com.lyonjohn.blog.pojo.Posts"
14:26:22.050 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "com.lyonjohn.blog.pojo.PostsPage"
14:26:22.442 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
14:26:22.454 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
14:26:22.470 [main] INFO  com.lyonjohn.blog.LyonjohnblogApplication - Started LyonjohnblogApplication in 2.609 seconds (JVM running for 3.596)
14:26:26.848 [http-nio-8081-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
14:26:26.849 [http-nio-8081-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
14:26:26.850 [http-nio-8081-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
14:26:27.104 [http-nio-8081-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
14:26:27.485 [http-nio-8081-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
15:00:05.736 [main] INFO  com.lyonjohn.blog.LyonjohnblogApplication - Starting LyonjohnblogApplication using Java 20.0.1 on liangzhanbodeMacBook-Pro.local with PID 18560 (/Users/liangzhanbo/Desktop/lyonjohn-blog-server/lyonjohnblog/target/classes started by liangzhanbo in /Users/liangzhanbo/Desktop/lyonjohn-blog-server/lyonjohnblog)
15:00:05.738 [main] INFO  com.lyonjohn.blog.LyonjohnblogApplication - No active profile set, falling back to 1 default profile: "default"
15:00:07.165 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
15:00:07.174 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
15:00:07.174 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
15:00:07.174 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.63]
15:00:07.273 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
15:00:07.274 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1477 ms
15:00:07.478 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "com.lyonjohn.blog.pojo.Posts"
15:00:07.605 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "com.lyonjohn.blog.pojo.PostsPage"
15:00:08.029 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
15:00:08.045 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
15:00:08.068 [main] INFO  com.lyonjohn.blog.LyonjohnblogApplication - Started LyonjohnblogApplication in 2.862 seconds (JVM running for 3.859)
