20:14:17.652 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.lyonjohn.blog.JohnlyonblogApplicationTests], using SpringBootContextLoader
20:14:17.658 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.lyonjohn.blog.JohnlyonblogApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
20:14:17.659 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.lyonjohn.blog.JohnlyonblogApplicationTests]: LyonjohnblogApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
20:14:17.849 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.lyonjohn.blog.LyonjohnblogApplication for test class com.lyonjohn.blog.JohnlyonblogApplicationTests
20:14:17.957 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
20:14:17.975 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@37c7595, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3ed242a4, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@1199fe66, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@614df0a4, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1fdf1c5, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2d96543c, org.springframework.test.context.transaction.TransactionalTestExecutionListener@73a2e526, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@7d64e326, org.springframework.test.context.event.EventPublishingTestExecutionListener@13f95696, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@cd1d761, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@68be8808, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@32193bea, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@6b8d96d9, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@69653e16, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@758705fa]
20:14:18.622 [main] INFO  com.lyonjohn.blog.JohnlyonblogApplicationTests - Starting LyonjohnblogApplicationTests using Java 20.0.1 on liangzhanbodeMacBook-Pro.local with PID 17820 (started by liangzhanbo in /Users/liangzhanbo/Desktop/lyonjohn-blog-server/lyonjohnblog)
20:14:18.624 [main] INFO  com.lyonjohn.blog.JohnlyonblogApplicationTests - No active profile set, falling back to 1 default profile: "default"
20:14:21.003 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "com.lyonjohn.blog.pojo.Music"
20:14:21.235 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "com.lyonjohn.blog.pojo.Posts"
20:14:21.358 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "com.lyonjohn.blog.pojo.PostsPage"
20:14:23.185 [main] INFO  com.lyonjohn.blog.JohnlyonblogApplicationTests - Started LyonjohnblogApplicationTests in 5.16 seconds (JVM running for 7.214)
20:25:59.733 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.lyonjohn.blog.JohnlyonblogApplicationTests], using SpringBootContextLoader
20:25:59.739 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.lyonjohn.blog.JohnlyonblogApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
20:25:59.740 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.lyonjohn.blog.JohnlyonblogApplicationTests]: LyonjohnblogApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
20:25:59.905 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.lyonjohn.blog.LyonjohnblogApplication for test class com.lyonjohn.blog.JohnlyonblogApplicationTests
20:26:00.004 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
20:26:00.030 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@37c7595, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3ed242a4, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@1199fe66, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@614df0a4, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1fdf1c5, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2d96543c, org.springframework.test.context.transaction.TransactionalTestExecutionListener@73a2e526, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@7d64e326, org.springframework.test.context.event.EventPublishingTestExecutionListener@13f95696, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@cd1d761, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@68be8808, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@32193bea, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@6b8d96d9, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@69653e16, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@758705fa]
20:26:00.824 [main] INFO  com.lyonjohn.blog.JohnlyonblogApplicationTests - Starting LyonjohnblogApplicationTests using Java 20.0.1 on liangzhanbodeMacBook-Pro.local with PID 19190 (started by liangzhanbo in /Users/liangzhanbo/Desktop/lyonjohn-blog-server/lyonjohnblog)
20:26:00.832 [main] INFO  com.lyonjohn.blog.JohnlyonblogApplicationTests - No active profile set, falling back to 1 default profile: "default"
20:26:02.923 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "com.lyonjohn.blog.pojo.Music"
20:26:03.132 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "com.lyonjohn.blog.pojo.Posts"
20:26:03.245 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "com.lyonjohn.blog.pojo.PostsPage"
20:26:04.630 [main] INFO  com.lyonjohn.blog.JohnlyonblogApplicationTests - Started LyonjohnblogApplicationTests in 4.54 seconds (JVM running for 6.146)
