20:18:32.338 [main] INFO  com.johnlyon.blog.JohnlyonblogApplication - Starting JohnlyonblogApplication using Java 20.0.1 on liangzhanbodeMacBook-Pro.local with PID 25984 (/Users/liangzhanbo/Desktop/JohnLyon/johnlyon-server/blog/target/classes started by liangzhanbo in /Users/liangzhanbo/Desktop/JohnLyon/johnlyon-server/blog)
20:18:32.339 [main] INFO  com.johnlyon.blog.JohnlyonblogApplication - No active profile set, falling back to 1 default profile: "default"
20:18:33.567 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
20:18:33.575 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
20:18:33.576 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
20:18:33.576 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.63]
20:18:33.659 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
20:18:33.660 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1273 ms
20:18:33.855 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "com.johnlyon.blog.pojo.Music"
20:18:33.966 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "com.johnlyon.blog.pojo.My"
20:18:34.016 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "com.johnlyon.blog.pojo.Posts"
20:18:34.054 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "com.johnlyon.blog.pojo.PostsPage"
20:18:34.438 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
20:18:34.448 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
20:18:34.460 [main] INFO  com.johnlyon.blog.JohnlyonblogApplication - Started JohnlyonblogApplication in 2.626 seconds (JVM running for 3.494)
20:31:23.278 [main] INFO  com.johnlyon.blog.JohnlyonblogApplication - Starting JohnlyonblogApplication using Java 20.0.1 on liangzhanbodeMacBook-Pro.local with PID 28200 (/Users/liangzhanbo/Desktop/JohnLyon/johnlyon-server/blog/target/classes started by liangzhanbo in /Users/liangzhanbo/Desktop/JohnLyon/johnlyon-server/blog)
20:31:23.281 [main] INFO  com.johnlyon.blog.JohnlyonblogApplication - No active profile set, falling back to 1 default profile: "default"
20:31:24.555 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8082 (http)
20:31:24.643 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1309 ms
20:32:37.356 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.johnlyon.blog.JohnlyonblogApplicationTests], using SpringBootContextLoader
20:32:37.360 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.johnlyon.blog.JohnlyonblogApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
20:32:37.361 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.johnlyon.blog.JohnlyonblogApplicationTests]: JohnlyonblogApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
20:33:29.213 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.johnlyon.blog.JohnlyonblogApplicationTests], using SpringBootContextLoader
20:33:29.217 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.johnlyon.blog.JohnlyonblogApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
20:33:29.218 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.johnlyon.blog.JohnlyonblogApplicationTests]: JohnlyonblogApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
20:34:37.614 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.johnlyon.blog.JohnlyonblogApplicationTests], using SpringBootContextLoader
20:34:37.618 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.johnlyon.blog.JohnlyonblogApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
20:34:37.619 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.johnlyon.blog.JohnlyonblogApplicationTests]: JohnlyonblogApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
20:34:37.768 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.johnlyon.blog.JohnlyonblogApplication for test class com.johnlyon.blog.JohnlyonblogApplicationTests
20:34:37.869 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
20:34:37.887 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@37c7595, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3ed242a4, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@1199fe66, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@614df0a4, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1fdf1c5, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2d96543c, org.springframework.test.context.transaction.TransactionalTestExecutionListener@73a2e526, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@7d64e326, org.springframework.test.context.event.EventPublishingTestExecutionListener@13f95696, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@cd1d761, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@68be8808, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@32193bea, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@6b8d96d9, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@69653e16, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@758705fa]
20:34:38.600 [main] INFO  com.johnlyon.blog.JohnlyonblogApplicationTests - Starting JohnlyonblogApplicationTests using Java 20.0.1 on liangzhanbodeMacBook-Pro.local with PID 29711 (started by liangzhanbo in /Users/liangzhanbo/Desktop/JohnLyon/johnlyon-server/blog)
20:34:38.607 [main] INFO  com.johnlyon.blog.JohnlyonblogApplicationTests - No active profile set, falling back to 1 default profile: "default"
20:34:40.538 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "com.johnlyon.blog.pojo.My"
20:34:40.728 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "com.johnlyon.blog.pojo.Posts"
20:34:40.825 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "com.johnlyon.blog.pojo.PostsPage"
20:34:42.083 [main] INFO  com.johnlyon.blog.JohnlyonblogApplicationTests - Started JohnlyonblogApplicationTests in 4.143 seconds (JVM running for 5.549)
20:46:05.860 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.johnlyon.blog.JohnlyonblogApplicationTests], using SpringBootContextLoader
20:46:05.865 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.johnlyon.blog.JohnlyonblogApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
20:46:05.866 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.johnlyon.blog.JohnlyonblogApplicationTests]: JohnlyonblogApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
20:46:06.029 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.johnlyon.blog.JohnlyonblogApplication for test class com.johnlyon.blog.JohnlyonblogApplicationTests
20:46:06.133 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
20:46:06.150 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@37c7595, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3ed242a4, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@1199fe66, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@614df0a4, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1fdf1c5, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2d96543c, org.springframework.test.context.transaction.TransactionalTestExecutionListener@73a2e526, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@7d64e326, org.springframework.test.context.event.EventPublishingTestExecutionListener@13f95696, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@cd1d761, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@68be8808, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@32193bea, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@6b8d96d9, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@69653e16, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@758705fa]
20:46:06.843 [main] INFO  com.johnlyon.blog.JohnlyonblogApplicationTests - Starting JohnlyonblogApplicationTests using Java 20.0.1 on liangzhanbodeMacBook-Pro.local with PID 32673 (started by liangzhanbo in /Users/liangzhanbo/Desktop/JohnLyon/johnlyon-server/blog)
20:46:06.846 [main] INFO  com.johnlyon.blog.JohnlyonblogApplicationTests - No active profile set, falling back to 1 default profile: "default"
20:46:08.734 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "com.johnlyon.blog.pojo.My"
20:46:08.913 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "com.johnlyon.blog.pojo.Posts"
20:46:09.002 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "com.johnlyon.blog.pojo.PostsPage"
20:46:10.289 [main] INFO  com.johnlyon.blog.JohnlyonblogApplicationTests - Started JohnlyonblogApplicationTests in 4.083 seconds (JVM running for 5.591)
23:10:17.710 [main] INFO  com.johnlyon.blog.JohnlyonblogApplication - Starting JohnlyonblogApplication using Java 20.0.1 on liangzhanbodeMacBook-Pro.local with PID 36161 (/Users/liangzhanbo/Desktop/JohnLyon/johnlyon-server/blog/target/classes started by liangzhanbo in /Users/liangzhanbo/Desktop/JohnLyon/johnlyon-server/blog)
23:10:17.718 [main] INFO  com.johnlyon.blog.JohnlyonblogApplication - No active profile set, falling back to 1 default profile: "default"
23:10:18.904 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
23:10:18.912 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
23:10:18.912 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
23:10:18.913 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.63]
23:10:18.991 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
23:10:18.992 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1225 ms
23:10:19.186 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "com.johnlyon.blog.pojo.My"
23:10:19.293 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "com.johnlyon.blog.pojo.Posts"
23:10:19.347 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "com.johnlyon.blog.pojo.PostsPage"
23:10:19.742 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
23:10:19.755 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
23:10:19.766 [main] INFO  com.johnlyon.blog.JohnlyonblogApplication - Started JohnlyonblogApplication in 2.539 seconds (JVM running for 3.404)
23:11:17.688 [main] INFO  com.johnlyon.blog.JohnlyonblogApplication - Starting JohnlyonblogApplication using Java 20.0.1 on liangzhanbodeMacBook-Pro.local with PID 36355 (/Users/liangzhanbo/Desktop/JohnLyon/johnlyon-server/blog/target/classes started by liangzhanbo in /Users/liangzhanbo/Desktop/JohnLyon/johnlyon-server/blog)
23:11:17.690 [main] INFO  com.johnlyon.blog.JohnlyonblogApplication - No active profile set, falling back to 1 default profile: "default"
23:11:18.917 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
23:11:18.926 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
23:11:18.926 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
23:11:18.926 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.63]
23:11:19.008 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
23:11:19.008 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1271 ms
23:11:19.196 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "com.johnlyon.blog.pojo.My"
23:11:19.298 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "com.johnlyon.blog.pojo.Posts"
23:11:19.351 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "com.johnlyon.blog.pojo.PostsPage"
23:11:19.737 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
23:11:19.750 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
23:11:19.762 [main] INFO  com.johnlyon.blog.JohnlyonblogApplication - Started JohnlyonblogApplication in 2.553 seconds (JVM running for 3.378)
23:13:32.565 [http-nio-8081-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
23:13:32.567 [http-nio-8081-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
23:13:32.568 [http-nio-8081-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
23:13:32.702 [http-nio-8081-exec-1] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'GET' not supported]
23:13:54.966 [main] INFO  com.johnlyon.blog.JohnlyonblogApplication - Starting JohnlyonblogApplication using Java 20.0.1 on liangzhanbodeMacBook-Pro.local with PID 36778 (/Users/liangzhanbo/Desktop/JohnLyon/johnlyon-server/blog/target/classes started by liangzhanbo in /Users/liangzhanbo/Desktop/JohnLyon/johnlyon-server/blog)
23:13:54.967 [main] INFO  com.johnlyon.blog.JohnlyonblogApplication - No active profile set, falling back to 1 default profile: "default"
23:13:56.184 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
23:13:56.192 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
23:13:56.192 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
23:13:56.192 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.63]
23:13:56.264 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
23:13:56.264 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1240 ms
23:13:56.453 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "com.johnlyon.blog.pojo.My"
23:13:56.567 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "com.johnlyon.blog.pojo.Posts"
23:13:56.624 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "com.johnlyon.blog.pojo.PostsPage"
23:13:57.064 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
23:13:57.080 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
23:13:57.094 [main] INFO  com.johnlyon.blog.JohnlyonblogApplication - Started JohnlyonblogApplication in 2.623 seconds (JVM running for 3.496)
23:14:11.129 [http-nio-8081-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
23:14:11.130 [http-nio-8081-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
23:14:11.131 [http-nio-8081-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
23:14:11.257 [http-nio-8081-exec-1] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'GET' not supported]
23:14:18.247 [http-nio-8081-exec-3] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
23:14:18.595 [http-nio-8081-exec-3] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
23:29:35.424 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
23:29:35.437 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
